x,y,type,value
298,327,bright,178.000000
209,367,bright,181.000000
38,398,bright,180.000000
952,412,bright,184.000000
415,422,bright,187.000000
403,615,bright,201.000000
209,623,bright,202.000000
588,633,bright,201.000000
16,674,bright,202.000000
1752,686,bright,179.000000
55,692,bright,205.000000
551,716,bright,205.000000
434,728,bright,205.000000
692,737,bright,206.000000
972,737,bright,209.000000
1220,748,bright,206.000000
32,770,bright,206.000000
294,787,bright,210.000000
898,796,bright,212.000000
2033,846,bright,166.000000
834,847,bright,212.000000
638,854,bright,212.000000
93,877,bright,212.000000
296,877,bright,215.000000
611,881,bright,211.000000
780,909,bright,216.000000
303,924,bright,213.000000
1316,931,bright,209.000000
735,956,bright,218.000000
186,964,bright,214.000000
1605,983,bright,196.000000
374,999,bright,214.000000
2,1001,bright,209.000000
13,1016,bright,211.000000
227,1019,bright,214.000000
946,1023,bright,216.000000
1820,1024,bright,185.000000
13,1066,bright,210.000000
414,1094,bright,214.000000
1224,1162,bright,211.000000
1274,1181,bright,209.000000
734,1270,bright,215.000000
44,1320,bright,204.000000
94,1347,bright,205.000000
775,1365,bright,204.000000
490,1382,bright,206.000000
181,1433,bright,205.000000
93,1451,bright,204.000000
99,1459,bright,201.000000
715,1496,bright,198.000000
1022,1516,bright,193.000000
56,1517,bright,196.000000
98,1526,bright,197.000000
789,1668,bright,185.000000
1023,1996,bright,154.000000
